"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048545","response to steroid hormone","55/1189","338/18805",0.162721893491124,2.57357881169099,7.58422262127849,8.805305947216e-11,1.39172752332386e-08,9.97162278759285e-09,"5105/2690/2805/6898/11057/2/2099/445/7057/3557/57630/7538/2355/687/6446/367/1956/133/1026/6715/5467/5207/54206/9076/2821/29966/1369/2309/10628/6256/4129/4537/1408/3717/1036/2908/6382/9420/677/3725/55625/6720/476/1655/678/9612/3158/4864/4193/387/23558/8837/5465/23081/3490",55
"GO:0097191","extrinsic apoptotic signaling pathway","44/1189","237/18805",0.185654008438819,2.93626882143985,7.79326886259031,9.15057481023899e-11,1.40721001811513e-08,1.00825536956061e-08,"3084/4170/50486/5054/3479/2266/2243/2244/3383/7057/57630/2730/7132/7133/8740/367/598/3162/51330/3570/91/6934/64332/81537/351/51703/8797/2309/8829/2729/2907/4055/153090/6672/3717/6788/4088/8737/5062/90/8738/8795/8837/2260",44
"GO:0001889","liver development","33/1189","146/18805",0.226027397260274,3.5748067329516,8.11407989036629,1.01838745043936e-10,1.5249012086842e-08,1.09258022037441e-08,"5105/2267/8854/445/570/38/1956/5774/51733/4853/6715/23242/1051/7494/3249/54206/9076/51156/2627/2356/1361/4088/50/5629/3280/84159/3158/1374/4864/8837/51599/7049/4233",33
"GO:0072524","pyridine-containing compound metabolic process","38/1189","187/18805",0.203208556149733,3.21390824087109,7.90453460158482,1.14936339454647e-10,1.67689172178702e-08,1.20148027721416e-08,"4837/229/10135/2805/2203/3479/83733/9563/6774/8942/8870/25819/5091/51422/51181/3643/130013/5207/3418/2821/5230/351/8564/83666/10840/32/3091/26137/23530/5236/51085/64080/55526/5465/5562/23786/23498/3607",38
"GO:0031639","plasminogen activation","14/1189","27/18805",0.518518518518518,8.20079120331433,9.72746844390838,1.39552682908942e-10,1.9851369143797e-08,1.42233563396403e-08,"5054/2266/2243/2244/7057/2161/302/861/3249/1718/5230/1361/2160/350",14
"GO:0045834","positive regulation of lipid metabolic process","31/1189","133/18805",0.233082706766917,3.68639217893346,8.07722560429877,1.64245797809414e-10,2.27941119398918e-08,1.63318093688282e-08,"5105/1066/10891/3949/5581/84879/6342/7132/10580/13/133/440503/51099/5467/7494/2822/9926/949/11261/27329/2181/116519/26137/6720/51085/9971/1374/972/5465/5562/8660",31
"GO:0071466","cellular response to xenobiotic stimulus","39/1189","198/18805",0.196969696969697,3.11523561944083,7.7734814265357,1.7429914425611e-10,2.36133840670777e-08,1.69188116717773e-08,"1576/1559/1555/1558/1571/7364/2203/8647/2180/1548/8714/1577/316/1549/5243/5447/6580/19/13/2938/1956/6095/6822/4609/348158/8856/10864/9446/2822/1645/8824/2052/217/5446/11309/7372/3297/5562/1244",39
"GO:0061008","hepaticobiliary system development","33/1189","149/18805",0.221476510067114,3.50283075846264,7.96852150464766,1.80502601321721e-10,2.38851116632696e-08,1.71135024459982e-08,"5105/2267/8854/445/570/38/1956/5774/51733/4853/6715/23242/1051/7494/3249/54206/9076/51156/2627/2356/1361/4088/50/5629/3280/84159/3158/1374/4864/8837/51599/7049/4233",33
"GO:0006805","xenobiotic metabolic process","30/1189","126/18805",0.238095238095238,3.76566943009332,8.09228423430988,1.84947604842971e-10,2.39170879899206e-08,1.71364132429863e-08,"1576/1559/1555/1558/1571/7364/8647/2180/1548/8714/1577/316/1549/5243/5447/6580/13/2938/6095/6822/348158/8856/10864/9446/1645/8824/2052/217/11309/1244",30
"GO:0061614","miRNA transcription","23/1189","77/18805",0.298701298701299,4.72420346684434,8.50737271553323,1.92349604681719e-10,2.43215389030884e-08,1.74261992732701e-08,"4781/6774/2099/5460/4086/367/1956/4853/4609/5467/351/2627/2309/7003/3091/2908/3725/6720/4088/1655/9612/7422/5465",23
"GO:0009062","fatty acid catabolic process","27/1189","105/18805",0.257142857142857,4.06692298450078,8.18727002805281,2.32047474195249e-10,2.87032636558906e-08,2.05656720265034e-08,"5105/8647/11057/84879/83752/6342/38/5095/440503/11001/54363/1579/5467/4051/55268/37/9663/10449/32/2108/1666/3030/1892/1374/5465/3032/8660",27
"GO:0170033","L-amino acid metabolic process","35/1189","167/18805",0.209580838323353,3.31469105523184,7.80573877175894,2.56211554956882e-10,3.10179520788226e-08,2.22241288319822e-08,"3242/10993/3034/2805/4143/6999/6898/189/3081/445/2730/8942/374569/81539/435/5352/6470/10247/441024/130013/4522/8564/4482/2356/383/10841/2729/23576/1036/56267/493/9971/23498/4204/80017",35
"GO:0006163","purine nucleotide metabolic process","65/1189","448/18805",0.145089285714286,2.29470480896311,7.2056192822979,2.72278679937028e-10,3.16176671192182e-08,2.2653820137403e-08,"4837/229/10135/27115/2805/2203/3479/9060/83733/9615/9563/6774/8942/8870/25819/7498/5091/51422/8460/8459/51181/441024/6095/6822/3643/4539/130013/5167/5207/1969/3418/132/2821/5230/4522/351/8564/4535/83666/10840/32/22978/4540/79631/4537/4508/204/3091/55022/26137/2618/23530/5236/6390/51085/64080/1740/4538/55526/5465/5562/23786/23498/4726/3607",65
"GO:0032102","negative regulation of response to external stimulus","65/1189","448/18805",0.145089285714286,2.29470480896311,7.2056192822979,2.72278679937028e-10,3.16176671192182e-08,2.2653820137403e-08,"6288/57817/325/710/3273/5054/3479/2266/2243/2244/2/3949/1843/10221/6774/5627/7057/7132/7538/8870/7133/2161/64838/302/613/4067/5292/54625/5340/6480/3133/6095/23220/84640/3827/5467/140885/5272/10848/5771/3106/383/727/8829/22978/1361/1398/5817/90102/2147/1652/79890/2160/350/80762/9258/4088/9971/10162/5465/7525/2534/4790/5728/51441",65
"GO:0019395","fatty acid oxidation","27/1189","107/18805",0.252336448598131,3.99090573245404,8.06045270348,3.68388923787142e-10,4.1524694801922e-08,2.97521307867623e-08,"8647/10891/84879/83752/6342/38/440503/11001/51422/127/54363/5467/4051/55268/37/10449/32/2108/1666/5166/3030/1892/1374/5465/5562/3032/8660",27
"GO:1902652","secondary alcohol metabolic process","34/1189","161/18805",0.211180124223602,3.33998505973494,7.74673809116232,3.72189707363448e-10,4.1524694801922e-08,2.97521307867623e-08,"1576/1559/3638/1066/3949/8542/5444/25987/341/19/6822/5467/54206/3418/1718/37/351/2230/949/10449/27329/847/3931/116519/9420/6720/50/10613/9971/3158/4864/10162/5562/2260",34
"GO:0050994","regulation of lipid catabolic process","21/1189","67/18805",0.313432835820896,4.95719468260045,8.42996164443512,4.36507937599985e-10,4.77640416335369e-08,3.42225757555616e-08,"8647/345/3949/5581/84879/83752/341/13/3248/5919/440503/51099/2822/949/32/27329/116519/1374/5465/5562/8660",21
"GO:0032869","cellular response to insulin stimulus","45/1189","260/18805",0.173076923076923,2.7373520087986,7.32864143433493,6.0806105447103e-10,6.5280516980003e-08,4.6772998291287e-08,"5105/2690/2805/2203/3638/23516/10580/2321/5305/1956/5919/2308/4921/6715/3643/5167/7494/2887/1969/5771/9663/2822/9564/645/2729/6655/23191/5166/55022/677/9640/55625/6720/3484/9971/5770/10458/8615/3158/23235/8837/5562/4233/2260/8660",45
"GO:0016051","carbohydrate biosynthetic process","39/1189","207/18805",0.188405797101449,2.97979059250862,7.44104112941295,6.83233878793543e-10,7.19926068580603e-08,5.1582160089033e-08,"4837/10993/229/5105/2805/2203/2998/10891/3479/2131/2632/2683/23516/10580/10402/7360/5091/2308/79660/4485/51422/3643/5950/5167/5207/6934/3340/2542/2887/2821/5230/5771/2908/57486/5236/5465/4790/6652/8660",39
